DateTime,High,Low,Average,Volume BTC
2015-11-11 00:00:00,342.36,301.21,316.61,277454.07
2015-11-10 00:00:00,382.36,327.64,366.67,224329.56
2015-11-09 00:00:00,386.48,361.38,375.66,130305.33
2015-11-08 00:00:00,389.90,367.21,383.40,93382.64
2015-11-07 00:00:00,391.83,372.13,384.19,101652.18
2015-11-06 00:00:00,395.27,352.48,372.65,274426.08
2015-11-05 00:00:00,447.97,370.11,400.78,331892.19
2015-11-04 00:00:00,496.13,372.91,446.81,562892.55
2015-11-03 00:00:00,418.91,358.04,383.16,437873.44
2015-11-02 00:00:00,366.38,322.62,335.96,228892.46
2015-11-01 00:00:00,328.40,311.39,318.43,83242.44
2015-10-31 00:00:00,332.80,308.24,323.35,115322.73
2015-10-30 00:00:00,334.34,314.48,325.17,171298.51
2015-10-29 00:00:00,319.77,302.46,310.56,134852.74
2015-10-28 00:00:00,308.54,295.77,302.25,121264.84
2015-10-27 00:00:00,298.71,287.84,293.68,114398.36
2015-10-26 00:00:00,288.02,281.73,285.14,80219.07
2015-10-25 00:00:00,295.93,283.75,290.33,120357.37
2015-10-24 00:00:00,284.49,279.44,281.82,59669.96
2015-10-23 00:00:00,280.70,275.73,278.15,71370.87
2015-10-22 00:00:00,280.38,269.49,273.82,97502.8
2015-10-21 00:00:00,273.43,265.89,270.01,62087.63
2015-10-20 00:00:00,273.73,265.81,269.31,77344.11
2015-10-19 00:00:00,266.44,262.41,264.92,62079.81
2015-10-18 00:00:00,273.51,262.79,268.01,54996.16
2015-10-17 00:00:00,275.41,263.78,270.17,119719.17
2015-10-16 00:00:00,268.02,256.56,261.59,103872.58
2015-10-15 00:00:00,257.88,254.25,256.24,64544.45
2015-10-14 00:00:00,256.48,251.26,253.27,72436.34
2015-10-13 00:00:00,251.94,245.60,249.23,81054.64
2015-10-12 00:00:00,249.50,245.93,247.98,41803.79
2015-10-11 00:00:00,251.03,247.21,248.94,43230.45
2015-10-10 00:00:00,247.77,245.64,246.88,40685.88
2015-10-09 00:00:00,246.80,244.54,245.89,41701.28
2015-10-08 00:00:00,246.23,244.45,245.48,47309.41
2015-10-07 00:00:00,248.34,244.20,246.64,67825.66
2015-10-06 00:00:00,249.43,241.90,244.95,85936.39
2015-10-05 00:00:00,242.14,238.21,240.14,71980.74
2015-10-04 00:00:00,241.83,239.60,240.89,35706.96
2015-10-03 00:00:00,241.57,238.28,240.10,47253.27
2015-10-02 00:00:00,240.27,238.28,239.12,55338.02
2015-10-01 00:00:00,240.28,237.38,238.59,59302.02
2015-09-30 00:00:00,239.49,237.14,238.36,55781.46
2015-09-29 00:00:00,241.76,237.88,239.60,67866.68
2015-09-28 00:00:00,240.82,233.53,238.15,70832.93
2015-09-27 00:00:00,236.41,233.34,235.07,38578.92
2015-09-26 00:00:00,236.97,234.91,236.04,40680.5
2015-09-25 00:00:00,238.25,234.41,236.48,65692.01
2015-09-24 00:00:00,236.50,231.65,233.89,77987.17
2015-09-23 00:00:00,233.07,231.02,232.06,49717.3
2015-09-22 00:00:00,233.55,226.40,230.43,81868.97
2015-09-21 00:00:00,232.07,227.35,229.07,60135.72
2015-09-20 00:00:00,234.15,231.28,232.96,41221.49
2015-09-19 00:00:00,235.04,232.97,233.89,37063.91
2015-09-18 00:00:00,235.91,232.23,234.65,59025.75
2015-09-17 00:00:00,236.02,229.74,232.86,65837.85
2015-09-16 00:00:00,232.56,228.69,230.31,61711.69
2015-09-15 00:00:00,239.64,230.65,231.73,51986.91
2015-09-14 00:00:00,232.40,228.64,229.86,63699.01
2015-09-13 00:00:00,237.85,229.74,234.45,54058.21
2015-09-12 00:00:00,242.48,236.15,240.70,52718.59
2015-09-11 00:00:00,242.80,239.92,241.56,47244.59
2015-09-10 00:00:00,242.17,237.24,239.98,63364.58
2015-09-09 00:00:00,245.81,239.59,242.45,69558.04
2015-09-08 00:00:00,246.52,240.34,243.77,77723.05
2015-09-07 00:00:00,242.75,239.25,241.06,56585.89
2015-09-06 00:00:00,244.38,236.30,240.44,73255.23
2015-09-05 00:00:00,237.72,231.26,233.58,56155.56
2015-09-04 00:00:00,232.44,230.04,231.24,64145.38
2015-09-03 00:00:00,230.74,230.74,230.74,65168.97
2015-09-02 00:00:00,229.00,229.00,229.00,60814.64
2015-09-01 00:00:00,230.32,230.32,230.32,63356.81
2015-08-31 00:00:00,229.95,229.95,229.95,56483.31
2015-08-30 00:00:00,230.31,230.31,230.31,50190.82
2015-08-29 00:00:00,231.82,231.82,231.82,46281.32
2015-08-28 00:00:00,228.39,228.39,228.39,93688.37
2015-08-27 00:00:00,227.05,227.05,227.05,60923.3
2015-08-26 00:00:00,225.87,225.87,225.87,98979.44
2015-08-25 00:00:00,214.30,214.30,214.30,209016.22
2015-08-24 00:00:00,221.77,221.77,221.77,193238.31
2015-08-23 00:00:00,230.29,230.29,230.29,56524.73
2015-08-22 00:00:00,231.70,231.70,231.70,75652.63
2015-08-21 00:00:00,235.11,235.11,235.11,61959.38
2015-08-20 00:00:00,232.79,232.79,232.79,97471.02
2015-08-19 00:00:00,233.92,233.92,233.92,259604.15
2015-08-18 00:00:00,256.83,256.83,256.83,86992.53
2015-08-17 00:00:00,258.90,258.90,258.90,52690.7
2015-08-16 00:00:00,260.44,260.44,260.44,73108.94
2015-08-15 00:00:00,267.24,267.24,267.24,34578.44
2015-08-14 00:00:00,266.20,266.20,266.20,52856.08
2015-08-13 00:00:00,266.37,266.37,266.37,58932.84
